hash_md5,lote_origen,familia_probable,size,extension,tipo_probable,detection_percent,fecha_escaneo_vt,dia_creacion_archivo
419ae0dfff02f1abd682d1c882558d82,VirusShare_00495,fragtor,115200,exe,trojan,44.78,2021-11-07T08:48:48+00:00,
7b1c33e90f31649809b1791b6bc64d9c,VirusShare_00495,fragtor,46080,exe,trojan,50.75,2021-11-08T09:17:18+00:00,
b2b93332decdaa4490bdd4798461fe2b,VirusShare_00495,fragtor,2409984,exe,trojan,61.76,2021-11-05T03:50:05+00:00,
bd3ea20d58cc21fd431cede9d9079a47,VirusShare_00495,fragtor,803328,exe,trojan,62.32,2021-11-06T16:34:47+00:00,
cdc0ed96a9f4b7cdc1305e4e1c82abd2,VirusShare_00495,fragtor,803328,exe,trojan,73.53,2021-11-06T00:06:57+00:00,
d15fd6bef97fd9e97417db873e36d16e,VirusShare_00495,fragtor,803328,exe,trojan,64.06,2021-11-03T20:54:29+00:00,
d1990ad9dec3474331d30def0a5ae0ff,VirusShare_00495,fragtor,3691275,exe,trojan,25.4,2021-11-01T12:34:51+00:00,
005eb54ba42cb42385cfc109ca738418,VirusShare_00499,fragtor,1606656,exe,trojan,58.73,2021-11-10T12:15:37+00:00,
618a79d102b5622eb48481710a5fc799,VirusShare_00499,fragtor,4003039,exe,trojan,24.19,2021-11-10T17:37:08+00:00,
71b8e47e7b19aa329916b1b3cfb83175,VirusShare_00499,fragtor,803328,exe,trojan,64.71,2021-11-16T17:50:46+00:00,
8b7de6a863125245710c41c3ebdfd05a,VirusShare_00499,fragtor,2560,exe,trojan,36.36,2021-11-14T13:15:11+00:00,
98bebe5d661156f1fd6249c8b9b2515a,VirusShare_00499,fragtor,18446,exe,trojan,42.42,2021-11-10T16:16:37+00:00,
fba43787226893fba5fa77e086f5350f,VirusShare_00495,fragtor,129320,exe,trojan,61.76,2021-11-04T00:06:25+00:00,1984-04-18
23c3fe5c0424c2641a9a079ae3d61c99,VirusShare_00495,fragtor,285040,exe,trojan,53.62,2021-11-08T16:33:55+00:00,1992-06-19
29aaa83c7333c0624137bf6de9014501,VirusShare_00495,fragtor,510464,exe,trojan,52.31,2021-11-06T13:49:20+00:00,1992-06-19
bc12854e887958db139ffd448c464014,VirusShare_00495,fragtor,458752,exe,trojan,52.17,2021-11-03T20:19:22+00:00,1992-06-19
ed59cb09df4428b9ecd1ba3103dd023f,VirusShare_00495,fragtor,1659904,exe,trojan,37.88,2021-11-03T21:25:52+00:00,1992-06-19
13d29ddf6d5dc51231d324d4b931f1f5,VirusShare_00499,fragtor,804864,exe,trojan,43.08,2021-11-10T08:09:09+00:00,1992-06-19
1726c529a1e787a995fd119d77210476,VirusShare_00499,fragtor,10335220,exe,trojan,53.03,2021-11-13T05:49:15+00:00,1992-06-19
2a9d17c0b69ec3397471b2762f3306f1,VirusShare_00499,fragtor,8867548,exe,trojan,61.19,2021-11-13T07:38:05+00:00,1992-06-19
4e0b65d61257c49936cdd8fe00c96f2c,VirusShare_00499,fragtor,9051318,exe,trojan,56.92,2021-11-13T06:36:02+00:00,1992-06-19
51d41051e5e5cc87148c491a0042d5db,VirusShare_00499,fragtor,9640192,exe,trojan,53.03,2021-11-14T03:54:52+00:00,1992-06-19
603e4cdc7a2ddeac4d491e6af5763173,VirusShare_00499,fragtor,10401296,exe,trojan,55.38,2021-11-14T10:22:32+00:00,1992-06-19
62c60a36944492c4c9b560578c88ff59,VirusShare_00499,fragtor,8283119,exe,trojan,52.31,2021-11-14T11:02:06+00:00,1992-06-19
64d27a99a90a71160e6c64c269a9da2e,VirusShare_00499,fragtor,8250148,exe,trojan,54.55,2021-11-13T09:16:39+00:00,1992-06-19
660d4267712d30bba4696012d07cbcb1,VirusShare_00499,fragtor,8112756,exe,trojan,54.41,2021-11-14T12:57:28+00:00,1992-06-19
778524b8b6751eb642c6c917aac279c9,VirusShare_00499,fragtor,10353890,exe,trojan,53.03,2021-11-12T06:05:44+00:00,1992-06-19
8236bc022aae784090e8912776d10847,VirusShare_00499,fragtor,9297240,exe,trojan,55.38,2021-11-13T11:58:47+00:00,1992-06-19
8990af3b5bd9b53c5278c616a2b2eb6c,VirusShare_00499,fragtor,8763891,exe,trojan,62.12,2021-11-17T15:03:46+00:00,1992-06-19
92fe79398004b66d53768fd5b807ce66,VirusShare_00499,fragtor,9922972,exe,trojan,53.85,2021-11-13T00:02:17+00:00,1992-06-19
96025b5539883af34d5545a22c61678e,VirusShare_00499,fragtor,8429959,exe,trojan,50.0,2021-11-12T22:48:18+00:00,1992-06-19
969f22ffc8183dcf1603b8b3b6767e74,VirusShare_00499,fragtor,9982227,exe,trojan,55.38,2021-11-12T11:46:01+00:00,1992-06-19
9d4d3d09e940926f1b1c7c1a361e4b42,VirusShare_00499,fragtor,8322536,exe,trojan,55.22,2021-11-14T12:03:33+00:00,1992-06-19
a0f9713556403117305b9d9f0e05bbe7,VirusShare_00499,fragtor,381256,exe,trojan,58.82,2021-11-13T01:51:50+00:00,1992-06-19
a9c5f44ef185fb5de11ac48a96866eef,VirusShare_00499,fragtor,8444272,exe,trojan,47.46,2021-11-13T04:42:36+00:00,1992-06-19
af0bc02b776e7df27b0a7cacdc1121ad,VirusShare_00499,fragtor,8023181,exe,trojan,65.15,2021-11-17T15:12:38+00:00,1992-06-19
ce4b9820d81898698b88042b14843dc9,VirusShare_00499,fragtor,7949187,exe,trojan,62.69,2021-11-17T14:47:11+00:00,1992-06-19
ce77432dffa8bee0ecbe85a7079ae10b,VirusShare_00499,fragtor,7956219,exe,trojan,53.73,2021-11-14T04:22:38+00:00,1992-06-19
d9f7e1ff0d246e08adfd52eb9a7f6a2e,VirusShare_00499,fragtor,10687822,exe,trojan,54.55,2021-11-12T21:33:13+00:00,1992-06-19
ec4a983012ba9a8605eaf6898471c7a1,VirusShare_00499,fragtor,7584700,exe,trojan,55.88,2021-11-14T03:09:17+00:00,1992-06-19
ee2f7c5e98f694eda3057b46578e6667,VirusShare_00499,fragtor,7250768,exe,trojan,54.55,2021-11-13T08:12:27+00:00,1992-06-19
fb070d4296948866924fab133ba6a7b4,VirusShare_00499,fragtor,8972328,exe,trojan,54.55,2021-11-13T02:16:49+00:00,1992-06-19
1e3d3116f8499abce67a2ddbe68f8ece,VirusShare_00495,fragtor,4595712,exe,trojan,58.21,2021-11-06T15:06:11+00:00,2006-02-01
57205bf6c87a287aa3ccc7dad89729da,VirusShare_00495,fragtor,3031040,exe,trojan,47.83,2021-11-06T23:24:37+00:00,2006-02-01
76cee870c287aa6998d5b7d6a79ea602,VirusShare_00495,fragtor,4726784,exe,trojan,50.72,2021-11-08T11:05:07+00:00,2006-02-01
40e41c02309a0a81924571843aa972be,VirusShare_00499,fragtor,3756032,exe,trojan,53.03,2021-11-16T11:46:45+00:00,2006-02-01
f754a15f13442861e1430b728a72e80d,VirusShare_00499,fragtor,5476352,exe,trojan,55.88,2021-11-17T13:40:10+00:00,2006-02-01
03279d8d89b5b3e6c42693576976579d,VirusShare_00495,fragtor,1857547,exe,trojan,68.66,2021-11-05T06:34:52+00:00,2007-08-17
