hash_md5,lote_origen,familia_probable,size,extension,tipo_probable,detection_percent,fecha_escaneo_vt,dia_creacion_archivo
0996618eb47d081fa0bb8a3c0946c255,VirusShare_00495,razy,2683349,exe,trojan,57.35,2021-11-09T00:06:02+00:00,
0a0db1e2d47d51db41f81136dc22a731,VirusShare_00495,razy,1704960,exe,trojan,47.76,2021-11-03T21:48:06+00:00,
0ad452f33f76bcd60a25e05d11b827af,VirusShare_00495,razy,1987451,exe,trojan,58.21,2021-11-09T17:04:53+00:00,
0e4a91ac133bacee38bdcf898a3ca5a5,VirusShare_00495,razy,513536,exe,trojan,68.18,2021-11-06T17:12:07+00:00,
0fb1ab0115e7226c789bc2591b135273,VirusShare_00495,razy,1704960,exe,trojan,71.01,2021-11-05T17:01:54+00:00,
1568aca9be883bcfd0746c1dabe1a563,VirusShare_00495,razy,86528,exe,trojan,54.41,2021-11-06T16:46:18+00:00,
23b28cb81ce70c4bb165a37a644f72d3,VirusShare_00495,razy,513536,exe,trojan,69.12,2021-11-05T17:00:39+00:00,
290199733441a6700fed08faa097561c,VirusShare_00495,razy,518145,exe,trojan,59.42,2021-11-08T17:46:51+00:00,
2a528e65a7507ba7eab20dd1ddb66d5e,VirusShare_00495,razy,86528,exe,trojan,56.52,2021-11-06T12:20:38+00:00,
33bf4b445a157bf33bf6dfc4de316893,VirusShare_00495,razy,513536,exe,trojan,69.57,2021-11-07T17:39:40+00:00,
388ab8b56f6b0a407be40204f239319b,VirusShare_00495,razy,108040,exe,trojan,58.82,2021-11-07T14:15:21+00:00,
399938a7a3c168106963f89b57d8edf5,VirusShare_00495,razy,1381862,exe,trojan,60.29,2021-11-09T13:42:44+00:00,
3d8a1760bd9d6c40d9cd81687e50f637,VirusShare_00495,razy,513536,exe,trojan,75.36,2021-11-09T11:17:17+00:00,
3f9e5eb2fc242a37ad323169fc774638,VirusShare_00495,razy,45672,exe,trojan,53.03,2021-11-05T19:25:19+00:00,
