hash_md5,lote_origen,familia_probable,size,extension,tipo_probable,detection_percent,fecha_escaneo_vt,dia_creacion_archivo
006009b9fdb6609eecc522c87daaa678,VirusShare_00495,salgorea,2089472,exe,trojan,74.6,2021-11-05T02:33:40+00:00,2005-03-04
006241c57bbd35dfa10d171d3d47c0a8,VirusShare_00495,salgorea,2089472,exe,trojan,76.47,2021-11-05T03:21:54+00:00,2005-03-04
00fb8e55d70663dac478085a96a80ca5,VirusShare_00495,salgorea,2089472,exe,trojan,81.16,2021-11-05T17:20:04+00:00,2005-03-04
02a172b913392357cfff78bfb252823f,VirusShare_00495,salgorea,2089472,exe,trojan,76.56,2021-11-05T02:31:49+00:00,2005-03-04
040cb67eb6ef8c97185bb9ae463276ad,VirusShare_00495,salgorea,2089472,exe,trojan,76.81,2021-11-04T23:28:30+00:00,2005-03-04
047c4f528143d7a0ad44775a830cecec,VirusShare_00495,salgorea,2089472,exe,trojan,77.94,2021-11-05T01:14:42+00:00,2005-03-04
0819fe9a7238295352a878d89418508c,VirusShare_00495,salgorea,2089472,exe,trojan,75.0,2021-10-31T00:57:09+00:00,2005-03-04
0ae0ca7872ed55eae9d75b9099985290,VirusShare_00495,salgorea,2089472,exe,trojan,76.47,2021-11-05T01:35:57+00:00,2005-03-04
0d37f8e169e63feff9391f3aab33cc89,VirusShare_00495,salgorea,2089472,exe,trojan,73.85,2021-11-05T07:55:05+00:00,2005-03-04
0e91cb4b7196fe97989244b6af44e010,VirusShare_00495,salgorea,2089472,exe,trojan,76.81,2021-11-05T07:29:25+00:00,2005-03-04
1057fd59a053f82272121387e0871f3d,VirusShare_00495,salgorea,2089472,exe,trojan,82.09,2021-11-05T17:20:25+00:00,2005-03-04
1435259898c7159e897d33f816fe6cd3,VirusShare_00495,salgorea,2089472,exe,trojan,76.81,2021-11-05T01:25:44+00:00,2005-03-04
157010775d0937ecb526258cf599d7d8,VirusShare_00495,salgorea,2089472,exe,trojan,76.81,2021-11-05T01:18:58+00:00,2005-03-04
1888907a8955ef09f71b98f06c78a34e,VirusShare_00495,salgorea,2089472,exe,trojan,82.35,2021-11-07T17:05:09+00:00,2005-03-04
1a50c7407ecdfe29288192fbd1b22666,VirusShare_00495,salgorea,2089472,exe,trojan,75.36,2021-11-05T01:37:35+00:00,2005-03-04
1a577ec4f6c8b035bd5434ec3aba86ea,VirusShare_00495,salgorea,2089472,exe,trojan,74.63,2021-11-05T07:39:45+00:00,2005-03-04
1bd075c5d94cb9070e54ec24ab5dd5c4,VirusShare_00495,salgorea,2089472,exe,trojan,75.0,2021-11-04T23:27:56+00:00,2005-03-04
1bedf6a1c36e64d31ba19578039a9b24,VirusShare_00495,salgorea,2089472,exe,trojan,77.61,2021-10-30T21:48:31+00:00,2005-03-04
1c61bbdfa91aa8713c744bfaac1b8eaf,VirusShare_00495,salgorea,2089472,exe,trojan,76.47,2021-11-05T07:55:01+00:00,2005-03-04
1ca645cceff27813b539e1479bd4b873,VirusShare_00495,salgorea,2089472,exe,trojan,76.12,2021-11-05T07:29:37+00:00,2005-03-04
1e00784dc0fa564faf118ff79c12201f,VirusShare_00495,salgorea,2089472,exe,trojan,76.92,2021-11-05T15:28:07+00:00,2005-03-04
1fb272f5c52f99515790956007a92c46,VirusShare_00495,salgorea,2089472,exe,trojan,77.94,2021-10-31T07:32:49+00:00,2005-03-04
21b75edba02d8ae599259534bd708b86,VirusShare_00495,salgorea,2089472,exe,trojan,76.47,2021-11-05T07:28:35+00:00,2005-03-04
21d46701ea459680e28f648157972cee,VirusShare_00495,salgorea,2089472,exe,trojan,82.61,2021-11-05T17:01:04+00:00,2005-03-04
22a1e64020719274504c4cf70c7eb43e,VirusShare_00495,salgorea,2089472,exe,trojan,77.94,2021-11-05T01:07:04+00:00,2005-03-04
23fd680500b2a6116bac57a913710954,VirusShare_00495,salgorea,2089472,exe,trojan,75.0,2021-11-07T10:50:08+00:00,2005-03-04
26556474d12806b90e038d6adb658870,VirusShare_00495,salgorea,2089472,exe,trojan,73.53,2021-11-04T23:48:52+00:00,2005-03-04
273c20fe2b3de95cfdbb6ce592512165,VirusShare_00495,salgorea,2089472,exe,trojan,82.61,2021-11-07T14:34:47+00:00,2005-03-04
276dbb229fff92700839396fcc3c0653,VirusShare_00495,salgorea,2089472,exe,trojan,77.61,2021-11-03T23:54:43+00:00,2005-03-04
2806849051a70fd1fdbd38e049b8b97a,VirusShare_00495,salgorea,2089472,exe,trojan,75.36,2021-11-05T01:24:51+00:00,2005-03-04
284806313ad95cd244155217cff94dd6,VirusShare_00495,salgorea,2089472,exe,trojan,78.26,2021-11-05T01:08:17+00:00,2005-03-04
