hash_md5,lote_origen,familia_probable,size,extension,tipo_probable,detection_percent,fecha_escaneo_vt,dia_creacion_archivo
3ecbbdcf9e08bb30726c25533b769ea7,VirusShare_00495,strictor,703488,exe,trojan,25.81,2021-11-06T14:02:07+00:00,1992-06-19
69a0b9cd58a7c837e0549151b067dfa9,VirusShare_00495,strictor,415944,exe,trojan,84.85,2021-11-09T05:35:53+00:00,1992-06-19
fe34e25df3c29749512fc80201e01963,VirusShare_00495,strictor,685056,exe,trojan,40.3,2021-11-06T13:55:34+00:00,1992-06-19
b6e1a6304b28cbd2d408632c6ea91d15,VirusShare_00499,strictor,415944,exe,trojan,77.94,2021-11-09T08:55:22+00:00,1992-06-19
f145b1d7f3e80f9876b8220a97ef43d3,VirusShare_00499,strictor,385024,exe,worm,82.35,2021-11-10T21:54:02+00:00,2003-01-29
ff19a7ee98563d8653ab497db002fcc6,VirusShare_00499,strictor,385024,exe,worm,85.29,2021-11-11T21:03:25+00:00,2003-01-29
651a51935bd0ebbee8921b4210d5d28b,VirusShare_00499,strictor,252610,exe,trojan,77.94,2021-11-12T10:16:01+00:00,2010-08-31
023e149053c6bebe7166dff1d3574879,VirusShare_00499,strictor,2710878,exe,trojan,79.41,2021-11-17T14:43:33+00:00,2013-04-01
2275814ad49bb459eebbb728a317a602,VirusShare_00499,strictor,2711070,exe,trojan,64.71,2021-11-15T16:15:49+00:00,2013-04-01
22e919cd2af23d9e7a637ee0144c50e1,VirusShare_00499,strictor,2711007,exe,trojan,64.71,2021-11-15T16:15:16+00:00,2013-04-01
31c3a6ceddabf77fd28b0120abe82e15,VirusShare_00499,strictor,2710892,exe,trojan,79.1,2021-11-16T03:33:54+00:00,2013-04-01
4dd8c8e812e260c08c94aaee04e8c2c0,VirusShare_00499,strictor,2710929,exe,trojan,79.41,2021-11-17T04:23:15+00:00,2013-04-01
5501570b96c75e877dd5f7569badcd73,VirusShare_00499,strictor,2710983,exe,trojan,81.82,2021-11-17T09:15:44+00:00,2013-04-01
571d7fb5f6d06d957eb04144da1c842d,VirusShare_00499,strictor,2711048,exe,trojan,63.49,2021-11-15T16:15:45+00:00,2013-04-01
58303bb8c0b2851c50660267c099a0b7,VirusShare_00499,strictor,2711001,exe,trojan,66.18,2021-11-15T16:15:54+00:00,2013-04-01
5becb3fa074b2a5040b476c8fb936c21,VirusShare_00499,strictor,2710904,exe,trojan,62.69,2021-11-15T16:15:14+00:00,2013-04-01
6243a413b96feed1ed43a2ed37b25c20,VirusShare_00499,strictor,2711050,exe,trojan,79.1,2021-11-15T09:32:32+00:00,2013-04-01
79c1246ffb1c4379151af6212f5400e8,VirusShare_00499,strictor,2710855,exe,trojan,79.1,2021-11-15T15:24:13+00:00,2013-04-01
87bba6d3b73f7e114a00a4b7143b62b9,VirusShare_00499,strictor,2710935,exe,trojan,76.56,2021-11-17T03:08:34+00:00,2013-04-01
90b192ef08a0400cf36278a65bad1a45,VirusShare_00499,strictor,2710979,exe,trojan,64.71,2021-11-15T16:15:18+00:00,2013-04-01
980260136f63ad39a45718fd7f5a3a5a,VirusShare_00499,strictor,2710831,exe,trojan,79.41,2021-11-16T02:57:13+00:00,2013-04-01
99c6f7fee181a143339855251b8fef43,VirusShare_00499,strictor,2711041,exe,trojan,63.24,2021-11-15T16:15:23+00:00,2013-04-01
b32bf457bedda9ec4c5968f303a306de,VirusShare_00499,strictor,2711083,exe,trojan,77.61,2021-11-16T06:41:43+00:00,2013-04-01
c52ffbcb474ca585bff1f1bf0066333d,VirusShare_00499,strictor,2710914,exe,trojan,64.18,2021-11-15T16:15:11+00:00,2013-04-01
cebb5a4dd2d85e302f3896395f033d89,VirusShare_00499,strictor,2711016,exe,trojan,79.41,2021-11-16T09:27:04+00:00,2013-04-01
