hash_md5,lote_origen,familia_probable,size,extension,tipo_probable,detection_percent,fecha_escaneo_vt,dia_creacion_archivo
0018aa7fe96a8a38acc05bcb436528a6,VirusShare_00495,vbclone,192685,exe,trojan,70.59,2021-11-07T09:16:14+00:00,2019-01-12
004c155d2b646212c2d1d7dede1cbb74,VirusShare_00495,vbclone,192591,exe,trojan,65.22,2021-10-31T10:11:23+00:00,2019-01-12
0070c46106440b76e9866de24a032e16,VirusShare_00495,vbclone,192651,exe,trojan,65.22,2021-11-04T17:28:43+00:00,2019-01-12
00b0d0384a79de518b88f7a9ba67b2a7,VirusShare_00495,vbclone,196716,exe,trojan,82.35,2021-11-06T05:40:28+00:00,2019-01-12
00b861805b09dad5e326d46ea0636e49,VirusShare_00495,vbclone,196736,exe,trojan,75.81,2021-11-05T07:16:04+00:00,2019-01-12
00e7157d9d8c0387e19ac5d39620d03f,VirusShare_00495,vbclone,196746,exe,trojan,77.27,2021-11-06T05:41:25+00:00,2019-01-12
00ea78a4aa27d4e42ea62c40ea21c002,VirusShare_00495,vbclone,196726,exe,trojan,79.71,2021-11-05T22:15:20+00:00,2019-01-12
01306f29556c03ccb0b0413b5d1862c7,VirusShare_00495,vbclone,192600,exe,trojan,63.77,2021-10-31T10:11:35+00:00,2019-01-12
01708c1f21a69ccf663f3f044766b09d,VirusShare_00495,vbclone,192689,exe,trojan,68.12,2021-11-07T10:29:17+00:00,2019-01-12
017a4eb42aeb9161815065064211d68f,VirusShare_00495,vbclone,196733,exe,trojan,82.35,2021-11-06T00:52:20+00:00,2019-01-12
01a23c412ee46e067d2daf9dfdb957e8,VirusShare_00495,vbclone,192695,exe,trojan,68.66,2021-11-07T10:29:17+00:00,2019-01-12
01a415858ee785fac2453bc49419420c,VirusShare_00495,vbclone,196797,exe,trojan,65.67,2021-11-07T10:58:09+00:00,2019-01-12
01ae16868e353b8d195edbe93f3496d9,VirusShare_00495,vbclone,196769,exe,trojan,67.65,2021-11-07T10:58:16+00:00,2019-01-12
01c1c2d879f6f5bdc46529ce3cc76a98,VirusShare_00495,vbclone,196725,exe,trojan,66.67,2021-11-02T09:54:01+00:00,2019-01-12
022cf918078460bd4fc5a52d88739fdc,VirusShare_00495,vbclone,192640,exe,trojan,63.77,2021-11-04T17:28:56+00:00,2019-01-12
02344cb1c224b66916db51ee3f8c44e2,VirusShare_00495,vbclone,192582,exe,trojan,68.12,2021-10-31T09:51:51+00:00,2019-01-12
0301ddef85d3d9219fa89f9ce0c8e55a,VirusShare_00495,vbclone,196639,exe,trojan,70.59,2021-10-31T17:52:21+00:00,2019-01-12
035c99dc0f1488d3c1d54fc9aafd54d4,VirusShare_00495,vbclone,192696,exe,trojan,66.18,2021-11-07T09:16:26+00:00,2019-01-12
03811faa11bcdbdfef7d55c8ededb6d8,VirusShare_00495,vbclone,192664,exe,trojan,68.66,2021-11-07T10:29:05+00:00,2019-01-12
04377412b3f5f06d3a8cf7c1af7cc9a8,VirusShare_00495,vbclone,192669,exe,trojan,72.73,2021-11-09T13:14:59+00:00,2019-01-12
04629ba6f149e1b1e252801465913061,VirusShare_00495,vbclone,192595,exe,trojan,81.16,2021-11-04T13:12:47+00:00,2019-01-12
04944f4786234f637518d1f96770d3b7,VirusShare_00495,vbclone,196775,exe,trojan,79.71,2021-11-06T03:28:29+00:00,2019-01-12
04f2aab054c0f2fe4702c3fbcaf91aca,VirusShare_00495,vbclone,196664,exe,trojan,66.18,2021-10-31T13:51:47+00:00,2019-01-12
0599b87afbdc9d72e88fe3680aaac2ba,VirusShare_00495,vbclone,196728,exe,trojan,75.0,2021-11-09T14:34:47+00:00,2019-01-12
05b168befb2a9c6e5daaccb0682936c8,VirusShare_00495,vbclone,196647,exe,trojan,68.12,2021-10-31T13:51:45+00:00,2019-01-12
