hash_md5,lote_origen,familia_probable,size,extension,tipo_probable,detection_percent,fecha_escaneo_vt,dia_creacion_archivo
0482e456c4d052afbc269719a8d18196,VirusShare_00495,zusy,1391104,exe,trojan,65.22,2021-11-07T17:03:29+00:00,
0aef5e09fa155bbec9051c5126882758,VirusShare_00495,zusy,1260032,exe,trojan,60.87,2021-11-05T19:00:29+00:00,
0e7957a4cc14b5492cdebbf4b59c9860,VirusShare_00495,zusy,1395712,exe,trojan,75.0,2021-11-05T18:03:25+00:00,
11a0cc9387969e63113f33a7f7053260,VirusShare_00495,zusy,1391104,exe,trojan,73.13,2021-11-08T06:06:14+00:00,
178bbc886590f95558bb31ae95a975bc,VirusShare_00495,zusy,1395712,exe,trojan,73.91,2021-11-05T17:29:09+00:00,
188d8880bb099b1a1d9e625c47316b50,VirusShare_00495,zusy,1391104,exe,trojan,73.53,2021-11-05T17:19:58+00:00,
1fa94448b522859c6a95e905be5ce0bc,VirusShare_00495,zusy,1395712,exe,trojan,63.77,2021-11-08T17:38:43+00:00,
25a8fbd16365e47efe4eacf661053a0a,VirusShare_00495,zusy,1391104,exe,trojan,59.42,2021-11-07T16:31:55+00:00,
26da95e6db651b26a7a8547e19b6d987,VirusShare_00495,zusy,1391104,exe,trojan,72.46,2021-11-06T21:35:15+00:00,
271c813c9ebffbe8e3941fda1eace879,VirusShare_00495,zusy,1391104,exe,trojan,66.67,2021-11-03T21:13:34+00:00,
292cdbde753a752fbb14afdd738373fe,VirusShare_00495,zusy,50408,exe,sin_inferir,2.99,2021-11-06T14:23:34+00:00,
35cebb477bfe914185c9405bb43cc17d,VirusShare_00495,zusy,1395712,exe,trojan,75.36,2021-11-09T00:30:12+00:00,
35edef058d6050340b9ae2ac5b77ffb7,VirusShare_00495,zusy,1395712,exe,trojan,61.76,2021-11-07T17:21:02+00:00,
36e546fee020d5efc10cefc2d2f20c64,VirusShare_00495,zusy,1260032,exe,trojan,72.06,2021-11-05T17:20:04+00:00,
38cdc5d5e52a44b475b0e2054d2c0050,VirusShare_00495,zusy,1395712,exe,trojan,62.32,2021-11-05T21:20:28+00:00,
3906796bd43b1a9ffc1c075e630c0fc2,VirusShare_00495,zusy,1260032,exe,trojan,58.82,2021-11-03T21:33:34+00:00,
3c8c9543710fdb717c52b80b6e6e73f4,VirusShare_00495,zusy,74984,exe,trojan,37.68,2021-11-07T18:10:33+00:00,
4688012656b71848132a4829f38a020e,VirusShare_00495,zusy,1395712,exe,trojan,65.22,2021-11-07T17:41:42+00:00,
4838141b4fdc363c0711f95194c9a050,VirusShare_00495,zusy,4608,exe,trojan,60.29,2021-11-09T06:25:09+00:00,
49caea0db0efc645bf80bef23a671f09,VirusShare_00495,zusy,1391104,exe,trojan,56.72,2021-11-07T17:26:24+00:00,
4a87e1c88cc9b341ee365a1f0a00e1c2,VirusShare_00495,zusy,1395712,exe,trojan,73.91,2021-11-07T15:06:25+00:00,
4c724291fa19ee3e94826574636e72cd,VirusShare_00495,zusy,1395712,exe,trojan,75.36,2021-11-05T17:02:51+00:00,
64166fc81873a7222383b1ded0b3b444,VirusShare_00495,zusy,1391104,exe,trojan,72.46,2021-11-05T17:00:41+00:00,
6b78d4b86fbafa2db143837f071c412f,VirusShare_00495,zusy,1260032,exe,trojan,76.81,2021-11-05T17:02:17+00:00,
7004fc90e19e7b4bdc97a2e13ad9d023,VirusShare_00495,zusy,1395712,exe,trojan,75.36,2021-11-05T17:36:54+00:00,
77bcadb0e05d8bcf1b87e00fd7f06197,VirusShare_00495,zusy,1391104,exe,trojan,69.12,2021-11-03T21:12:29+00:00,
7828c1909889c1567edb8805b97aa849,VirusShare_00495,zusy,1395712,exe,trojan,79.71,2021-11-08T22:06:58+00:00,
7af2f5f74751e23afa097034f522ca9b,VirusShare_00495,zusy,1395712,exe,trojan,69.12,2021-11-05T17:01:38+00:00,
