dia_escaneo_vt,muestras
2021-11-12,11619
2021-11-13,9300
2021-11-14,9257
2021-11-15,6461
2021-11-11,6389
2021-11-10,4432
2021-11-16,3042
2021-11-09,1913
2021-11-17,1378
2021-11-08,1182
2021-10-31,211
2021-11-18,146
2021-11-07,129
2021-11-02,108
2021-11-06,78
2021-10-29,77
2021-10-02,57
2021-10-28,53
2021-11-04,51
2021-10-30,49
2021-11-05,43
2021-10-27,25
2021-10-01,24
2021-11-03,17
2021-11-01,15
2021-06-17,15
2021-08-09,14
2021-10-03,14
2021-10-18,13
2021-10-21,12
2021-10-04,12
2021-07-26,11
2021-10-25,11
2021-10-19,10
2021-07-10,10
2021-10-22,9
2021-10-12,9
2021-09-23,9
2021-10-20,9
2021-10-26,9
2021-10-06,8
2021-10-07,8
2021-10-08,7
2021-10-11,7
2021-07-25,6
2021-10-23,6
2021-06-14,5
2021-07-11,5
2021-10-09,5
2021-10-05,5
2021-08-10,4
2021-06-13,4
2021-08-14,4
2021-06-12,3
2020-10-03,3
2020-10-06,3
2021-08-11,3
2021-10-13,3
2021-09-27,3
2021-06-18,3
2021-06-11,3
2021-07-20,2
2021-06-19,2
2021-07-12,2
2021-08-12,2
2021-07-01,2
2021-07-28,2
2020-04-30,2
2020-09-26,2
2021-08-19,2
2020-08-27,2
2021-06-05,2
2021-10-14,2
2021-10-15,2
2020-06-03,2
2021-08-21,2
2021-09-24,2
2019-04-27,2
2021-07-27,2
2021-10-17,2
2021-07-07,2
2021-07-17,2
2021-06-24,2
2021-08-29,2
2021-10-10,2
2021-09-19,2
2021-07-04,2
2021-10-16,2
2021-09-21,2
2020-08-23,2
2016-07-10,1
2020-07-17,1
2019-04-30,1
2019-05-20,1
2021-06-21,1
2019-09-08,1
2016-02-04,1
2020-10-07,1
2020-07-30,1
2021-07-06,1
2013-02-26,1
2021-02-04,1
2019-05-16,1
2021-08-28,1
2020-10-17,1
2020-07-03,1
2014-03-09,1
2020-10-19,1
2021-06-03,1
2017-03-17,1
2017-07-06,1
2020-09-06,1
2021-09-29,1
2020-09-20,1
2020-09-10,1
2021-01-19,1
2020-05-26,1
2020-08-08,1
2020-06-10,1
2014-12-08,1
2018-03-14,1
2021-01-07,1
2020-04-11,1
2020-10-27,1
2018-03-21,1
2021-09-15,1
2021-05-25,1
2020-09-04,1
2019-04-22,1
2021-04-16,1
2020-11-03,1
2020-04-28,1
2020-08-19,1
2020-08-18,1
2019-06-22,1
2019-12-23,1
2019-04-12,1
2020-10-02,1
2021-09-18,1
2019-04-11,1
2021-08-18,1
2021-06-15,1
2020-06-20,1
2021-05-19,1
2021-04-30,1
2020-08-25,1
2017-09-25,1
2013-08-25,1
2020-10-15,1
2021-01-21,1
2020-09-18,1
2021-05-23,1
2019-02-15,1
2021-07-02,1
2021-08-04,1
2020-03-26,1
2013-11-26,1
2021-05-09,1
2021-05-18,1
2020-09-11,1
2021-06-25,1
2020-05-21,1
2019-06-16,1
2017-05-17,1
2021-02-06,1
2021-06-30,1
2020-09-19,1
2019-04-07,1
2020-11-29,1
2021-06-26,1
2021-08-13,1
2017-09-05,1
2021-09-28,1
2021-09-26,1
2020-09-02,1
2020-09-03,1
2021-09-22,1
2021-06-27,1
2019-05-22,1
2021-08-17,1
2019-02-21,1
2020-02-12,1
2020-05-24,1
2021-03-19,1
2020-06-05,1
2019-05-31,1
