familia_probable,muestras
sin_inferir,26217
cryxos,3384
faceliker,2108
salgorea,1790
iframe,1276
barys,976
bomb,941
kryptik,819
bulz,745
razy,705
strictor,613
zusy,596
eylr,578
sabsik,433
urelas,412
vbclone,407
injector,388
autorun,332
small,320
dnsr,314
expiro,299
fragtor,292
tedy,284
delf,272
sivis,248
expkit,240
vmprotect,230
lmir,223
vobfus,221
crypt,213
pidgeon,204
blocker,197
doina,194
upatre,193
juko,190
midie,185
nemucod,183
upantix,181
blackie,181
brocoiner,170
fklr,163
susp,157
gerphish,140
mikey,136
valyria,135
redirect,134
lnkrun,133
msilzilla,130
scrinject,129
mint,114
qukart,108
fraud,105
cerbu,105
qqpass,101
camelot,99
hidelink,98
bmhfbyrbndc,98
mirai,97
vbna,96
artemis,92
wacatac,92
sneaky,89
filerepmalware,88
nevereg,87
rozena,85
ausiv,84
shodi,83
multiplier,83
virlock,83
finfish,81
inor,80
susgen,79
padodor,78
ulise,75
redir,74
symmi,74
ramnit,73
bladabindi,72
autoit,71
refresh,69
redirba,66
python,61
drixed,61
msoffice,57
sypon,57
ndsw,57
adload,55
mira,53
fugrafa,52
jaik,50
runner,50
clicker,49
application,49
scar,47
ipamor,46
dqan,45
likejack,44
picsys,44
unruy,43
lazy,42
fundf,42
lololo,42
trojware,41
hangup,40
brontok,40
keyiso,39
hoax,38
pshagent,38
tinba,37
inject,36
fprd,35
minerva,35
ursu,35
hmjerj,35
androidos,34
vbkrypt,33
msilheracles,33
genpack,33
dropped,33
chinky,33
kazy,31
graftor,31
deepscan,30
coinhive,29
genkryptik,29
sality,27
flyagent,27
viking,26
starter,25
astvirus,25
patched,25
includer,25
launcher,23
shipup,23
dridex,22
webshell,22
fakejquery,22
krucky,22
foqa,21
zbot,21
virut,20
shyape,20
msilperseus,20
dldr,20
swisyn,20
startpage,19
nimnul,19
waski,19
obfdldr,19
gencirc,18
adodb,18
gafgyt,18
cryptoff,18
johnnie,18
foretype,17
bmifbyrbndc,17
jcnsby,17
packer,17
neshta,17
icedid,17
plemood,17
malurl,17
cambot,17
themida,16
fasong,16
cosmu,16
obfuscated,16
stopcrypt,16
acint,16
prepender,16
vtflooder,15
gnaeus,15
jiagu,15
framer,15
selfdel,15
donut,15
dinwod,15
fbjack,14
druvzi,14
fnup,14
obfus,14
expgen,14
decode,14
shellcode,14
facelike,13
ecmc,13
floxif,13
danabot,13
zapchast,13
reconyc,13
fileinfector,13
popunder,13
fakealert,13
yeli,13
shiz,13
qakbot,12
shohdi,12
cardstealer,12
avlj,12
jorik,11
agentb,11
blackhole,10
vbinject,10
mimail,10
mardom,10
filerepmetagen,10
shifu,10
lethic,10
explorerhijack,9
snojan,9
swrort,9
cardspy,9
legmir,9
boxter,9
clickjack,9
bublik,9
ircbot,9
agensla,9
ponystealer,8
vjadtre,8
clipbanker,8
bertle,8
paypal,8
tiggre,8
doboc,8
hijacker,8
stihat,8
genetic,8
memscan,8
disco,8
