hash_md5,sha1,sha256,extension,filetype,mimetype,size,fecha_escaneo_vt,dia_escaneo_vt,fecha_agregado_virusshare,dia_agregado_virusshare,vt_positives,vt_total,detection_ratio,motores_detectaron,familia_probable,familia_score,familias_top,tipo_probable,tipo_score,tipos_top,detecciones_top,permalink,reporte_path
000078146985524b12c3f5a727b831c0,2d698327674cae8bc419a7557b53d66c893c4e99,1d4bf01d2b1a01fcb0575b1c81bc9f5824dbf57ed0e32ea796b0bacabfb46cef,bg,data,application/octet-stream,98597,2021-11-12T10:25:08+00:00,2021-11-12,2021-11-17T02:15:50+00:00,2021-11-17,16,55,0.2909,16,csvdwl,0.125,csvdwl:2;turk:1,exploit,0.4375,exploit:7;trojan:4;downloader:4,Trojan.Script.Generic.a!c;PS/Downloader.bs;PowerShell/Csvdwl.E!tr;Generic.DDE.Exploit.F.4E9FD76C (B);malware (ai score=82);Generic.DDE.Exploit.F.4E9FD76C;Generic.DDE.Exploit.F.4E9FD76C;Generic.DDE.Exploit.F.4E9FD76C;Troj/Csvdwl-E;Generic.DDE.Exploit.F.4E9FD76C,https://www.virustotal.com/gui/file/1d4bf01d2b1a01fcb0575b1c81bc9f5824dbf57ed0e32ea796b0bacabfb46cef/detection/f-1d4bf01d2b1a01fcb0575b1c81bc9f5824dbf57ed0e32ea796b0bacabfb46cef-1636712708,clasificacion\VirusShare_00499\reportes\reporte\000078146985524b12c3f5a727b831c0.json
0001c0bbbe00ae40a28c8e17d82890b7,b078436dafa06f31cf3ab93247e14b1280d34e81,ec55751c21790a901170cfe74be77a49c0579a8e7f47de2d2a2cb019fec34cde,pdf,"PDF document, version 1.4",application/pdf,77524,2021-11-15T16:35:21+00:00,2021-11-15,2021-11-17T20:04:12+00:00,2021-11-17,27,60,0.45,27,,0.0,gerphish:1;camelot:1;malurl:1,phishing,0.4074,phishing:11;trojan:7;stealer:2,PDF.Spam.Heur.1;Malicious (score: 99);Trojan/Generic.ASMalwRG.150;PDF/Phishing.4BCA!tr;Trojan.WIN32.stealer.phishing.e;PDF.Spam.Heur.1;PDF/Phish-FOF!0001C0BBBE00;Trojan.Phishing!1.D9C3 (CLASSIC);PDF.Trojan-Stealer.Phishing.E;PDF.Phishing.43927,https://www.virustotal.com/gui/file/ec55751c21790a901170cfe74be77a49c0579a8e7f47de2d2a2cb019fec34cde/detection/f-ec55751c21790a901170cfe74be77a49c0579a8e7f47de2d2a2cb019fec34cde-1636994121,clasificacion\VirusShare_00499\reportes\reporte\0001c0bbbe00ae40a28c8e17d82890b7.json
00030a2bc58958ff6fd67e8cb7a6581a,ffa1d6b536a72ec56dd395245893485f8b562308,2dd214afa160a7296a9586cfcf1736168a732676410556033507834cf212e7c1,exe,"MS-DOS executable, MZ for MS-DOS",application/x-dosexec,480374,2021-11-13T12:44:12+00:00,2021-11-13,2021-11-17T06:47:51+00:00,2021-11-17,50,68,0.7353,50,urelas,0.16,urelas:8;susgen:1;tscope:1;delf:1;smssend:1,trojan,0.5,trojan:25;pua:1,Trojan.Malware.300983.susgen;TScope.Trojan.Delf;Malicious (score: 100);Trojan.SMSSend.5738;a variant of Win32/Urelas.A;W32/A-a6744177!Eldorado;AI:Packer.463CF3001D;BehavesLike.Win32.Generic.gc;ML.Attribute.HighConfidence;W32/Urelas.A!tr,https://www.virustotal.com/gui/file/2dd214afa160a7296a9586cfcf1736168a732676410556033507834cf212e7c1/detection/f-2dd214afa160a7296a9586cfcf1736168a732676410556033507834cf212e7c1-1636807452,clasificacion\VirusShare_00499\reportes\reporte\00030a2bc58958ff6fd67e8cb7a6581a.json
0003aa273a7e289dd493ac39fd853aab,b4c7bde1f2cc6993565a51745ff8ae6f1fa44d5f,50178eba10ec1f54f4bbbb6c600e0e1cb46257b88a98938c607cc9c7907ec6e4,exe,"PE32 executable (GUI) Intel 80386, for MS Windows, PECompact2 compressed",application/x-dosexec,404992,2021-11-12T17:03:03+00:00,2021-11-12,2021-11-18T06:58:08+00:00,2021-11-18,55,68,0.8088,55,urelas,0.2727,urelas:15;obfuscated:2;uvpm:2;sabsik:1;pbbot:1,trojan,0.4364,trojan:24;worm:1;bot:1;ransomware:1,HEUR:Trojan.Win32.Generic;Trojan.GenericKD.47267337;Trojan.Sabsik.FL;suspicious;Trojan.GenericKD.47267337;Trojan/Win32.PbBot.R43703;W32/Urelas.D.gen!Eldorado;Malicious;Suspicious.Win32.Save.a;Unsafe.AI_Score_90%,https://www.virustotal.com/gui/file/50178eba10ec1f54f4bbbb6c600e0e1cb46257b88a98938c607cc9c7907ec6e4/detection/f-50178eba10ec1f54f4bbbb6c600e0e1cb46257b88a98938c607cc9c7907ec6e4-1636736583,clasificacion\VirusShare_00499\reportes\reporte\0003aa273a7e289dd493ac39fd853aab.json
00041d0e385e4272ac8ecdb82edaa9ad,7cf450e0a8060b2d4e977cce23d7d8f55338d4d8,3abf498d2a4edbeb0104c7c5a1e9593b0dd91c9d55c14469d93e50e7cb931f63,,"UTF-8 Unicode text, with very long lines",text/plain,203088,2021-11-15T04:37:51+00:00,2021-11-15,2021-11-17T08:12:56+00:00,2021-11-17,5,56,0.0893,5,faceliker,0.2,faceliker:1;iframe:1;cryxos:1;brocoiner:1,trojan,1.0,trojan:5,JS.Trojan.Agent.42292;Trojan.FaceLiker/JS!1.BAA9 (CLASSIC);Trojan.Iframe.JS.3;Trojan.JS.Cryxos;Trojan:HTML/Brocoiner,https://www.virustotal.com/gui/file/3abf498d2a4edbeb0104c7c5a1e9593b0dd91c9d55c14469d93e50e7cb931f63/detection/f-3abf498d2a4edbeb0104c7c5a1e9593b0dd91c9d55c14469d93e50e7cb931f63-1636951071,clasificacion\VirusShare_00499\reportes\reporte\00041d0e385e4272ac8ecdb82edaa9ad.json
00048e9c0950e66adb8d6fa29d99091d,94f82a6c3afbbfccf266f83a209ee376755fb998,89bc5c1b775a3f1ce50fb4b0ce9ca2c49c2a54e52d60de1c67d9741e9455ced0,,"UTF-8 Unicode text, with very long lines, with NEL line terminators",text/plain,91972,2021-11-16T08:07:41+00:00,2021-11-16,2021-11-17T19:51:10+00:00,2021-11-17,16,56,0.2857,16,,0.0,cryxos:1;expkit:1,trojan,0.625,trojan:10,Trojan.GenericKD.47402346;Malicious (score: 99);Trojan/Generic.ASMalwRG.15C;Trojan.GenericKD.47402346;Trojan.GenericKD.47402346;Win32.Outbreak;Trojan.GenericKD.47402346;HEUR:Trojan.Script.Generic;JS/Agent.PIV;Trojan.GenericKD.47402346,https://www.virustotal.com/gui/file/89bc5c1b775a3f1ce50fb4b0ce9ca2c49c2a54e52d60de1c67d9741e9455ced0/detection/f-89bc5c1b775a3f1ce50fb4b0ce9ca2c49c2a54e52d60de1c67d9741e9455ced0-1637050061,clasificacion\VirusShare_00499\reportes\reporte\00048e9c0950e66adb8d6fa29d99091d.json
0007db83e66d70b9dcda030202f385ba,af4a2f53f4ac1cf66bc091de937e210e650a9588,1f06ca8ba3ba913120cc0d9f15c2879062167508f96ee8a9a84faa404be2f30b,exe,"PE32 executable (console) Intel 80386, for MS Windows",application/x-dosexec,1542629,2021-11-13T22:07:50+00:00,2021-11-13,2021-11-18T07:08:35+00:00,2021-11-18,27,68,0.3971,27,,0.0,blackie:2;filerepmalware:2;susgen:1;krap:1;gvul:1,trojan,0.2593,trojan:7;downloader:1;virus:1;dropper:1;ransomware:1,Heuristic.HEUR/AGEN.1141290;Trojan.Downloader;W32/Blackie.W.gen!Eldorado;Malware.AI.2414621462;Trojan.Win32.Save.a;FileRepMalware;Win32.Trojan.PSE.1UPSOJJ;Unsafe;Trojan.Malware.121218.susgen;Packed.Krap.gvul,https://www.virustotal.com/gui/file/1f06ca8ba3ba913120cc0d9f15c2879062167508f96ee8a9a84faa404be2f30b/detection/f-1f06ca8ba3ba913120cc0d9f15c2879062167508f96ee8a9a84faa404be2f30b-1636841270,clasificacion\VirusShare_00499\reportes\reporte\0007db83e66d70b9dcda030202f385ba.json
000ca1a11e9b973bc885560a119cd255,7c3159d8e9b8ebaca9ba1cf22f11685e9898503f,e38f798872a0c332944851f15acdeffa4a00b78bf55910bd96e95ab08e6379a0,html,"HTML document, ASCII text, with very long lines, with no line terminators",text/html,180726,2021-11-15T13:05:01+00:00,2021-11-15,2021-11-17T11:47:03+00:00,2021-11-17,17,56,0.3036,17,,0.0,hoax:1;ivbfjg:1,trojan,0.5294,trojan:9;phishing:4,HTML/Infected.WebPage.Gen2;Trojan.GenericKD.47388084 (B);Malicious (score: 99);Other:Malware-gen [Trj];Trojan.GenericKD.47388084;Trojan.Generic.D2D315B4;Other:Malware-gen [Trj];Trojan.GenericKD.47388084;Trojan.GenericKD.47388084;HEUR:Hoax.HTML.Phish.gen,https://www.virustotal.com/gui/file/e38f798872a0c332944851f15acdeffa4a00b78bf55910bd96e95ab08e6379a0/detection/f-e38f798872a0c332944851f15acdeffa4a00b78bf55910bd96e95ab08e6379a0-1636981501,clasificacion\VirusShare_00499\reportes\reporte\000ca1a11e9b973bc885560a119cd255.json
0011089dc2bf4867ec328bfbc0f003ff,51499e1e65bbafa92b8754b494df4e9ee528af37,7c32e90ff5238f711ca4ac6df0eadbd3be436fc6fde7a37e7cecf44d3296f7c9,exe,"PE32 executable (GUI) Intel 80386, for MS Windows",application/x-dosexec,14680064,2021-11-14T17:15:52+00:00,2021-11-14,2021-11-17T14:18:14+00:00,2021-11-17,47,67,0.7015,47,eylr,0.1489,eylr:7;admm:2;wacatac:2;susgen:1;sivis:1,trojan,0.4468,trojan:21;dropper:1;ransomware:1,Trojan.Malware.11196631.susgen;Trojan.Agent.EYLR (B);Trojan.Agent!1.D9AC (CLASSIC);Malicious (score: 100);Win32/Agent.ADMM;malicious.dc2bf4;Trojan ( 0058876d1 );Trojan/Generic.ASMalwS.204A4E5;W32/Agent.ADMM!tr;Win32:Malware-gen,https://www.virustotal.com/gui/file/7c32e90ff5238f711ca4ac6df0eadbd3be436fc6fde7a37e7cecf44d3296f7c9/detection/f-7c32e90ff5238f711ca4ac6df0eadbd3be436fc6fde7a37e7cecf44d3296f7c9-1636910152,clasificacion\VirusShare_00499\reportes\reporte\0011089dc2bf4867ec328bfbc0f003ff.json
0011344dc5e872410a72305f8195ed27,606f5058609ea98d037518464965e3df7b7aa397,4a2591333a1eb3a01df16048d0c15a07bb3c7246dc9cdb7a8e78223f61b614c7,dll,"PE32+ executable (DLL) (GUI) x86-64, for MS Windows",application/x-dosexec,10594519,2021-07-20T17:29:37+00:00,2021-07-20,2021-11-17T04:14:55+00:00,2021-11-17,40,63,0.6349,40,bulz,0.175,bulz:7;vmprotect:5;agentb:3;artemis:1;wwlp:1,trojan,0.475,trojan:19;rootkit:1,Trojan.Agentb.jfz;Artemis!0011344DC5E8;Malicious (score: 100);Trojan.Packed2.43111;a variant of Win32/Packed.VMProtect.ABO;W64/Trojan.WWLP-4623;Trojan.Agentb;Trojan.Gen.MBT;W64/VMProtect.2969!tr;Trojan ( 7000001d1 ),https://www.virustotal.com/gui/file/4a2591333a1eb3a01df16048d0c15a07bb3c7246dc9cdb7a8e78223f61b614c7/detection/f-4a2591333a1eb3a01df16048d0c15a07bb3c7246dc9cdb7a8e78223f61b614c7-1626802177,clasificacion\VirusShare_00499\reportes\reporte\0011344dc5e872410a72305f8195ed27.json
